City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6,-73.97,70.0,73,83,8.43,broken clouds
1,Mataura,NZ,-46.19,168.86,64.99,59,60,11.01,broken clouds
2,Borba,BR,-4.39,-59.59,84.83,63,67,1.43,broken clouds
3,Ushuaia,AR,-54.8,-68.3,44.6,65,75,9.17,broken clouds
4,Mahebourg,MU,-20.41,57.7,73.4,69,20,9.17,few clouds
5,Inhambane,MZ,-23.86,35.38,70.07,84,0,5.73,clear sky
6,Bac Lieu,VN,9.29,105.72,77.2,86,100,2.04,overcast clouds
7,Georgetown,MY,5.41,100.34,78.8,94,20,3.51,moderate rain
8,Vaini,TO,-21.2,-175.2,77.0,38,40,11.41,scattered clouds
9,Sinegorye,RU,62.08,150.48,30.33,92,95,4.5,overcast clouds
10,New Norfolk,AU,-42.78,147.06,57.0,65,100,3.0,overcast clouds
11,Punta Arenas,CL,-53.15,-70.92,46.4,65,75,6.93,broken clouds
12,Hermanus,ZA,-34.42,19.23,64.99,91,32,1.99,scattered clouds
13,Nouadhibou,MR,20.93,-17.03,73.4,69,68,12.75,broken clouds
14,Jalu,LY,29.03,21.55,66.51,72,15,13.89,few clouds
15,Hithadhoo,MV,-0.6,73.08,82.27,79,79,12.77,light rain
16,Atuona,PF,-9.8,-139.03,78.21,77,25,19.26,scattered clouds
17,Hobart,AU,-42.88,147.33,57.0,76,75,3.36,broken clouds
18,Avarua,CK,-21.21,-159.78,77.0,73,75,13.87,broken clouds
19,Ponta Do Sol,PT,32.67,-17.1,66.2,63,40,4.7,scattered clouds
20,Provideniya,RU,64.38,-173.3,34.21,89,100,13.24,overcast clouds
21,Qaqortoq,GL,60.72,-46.03,28.4,68,95,1.12,overcast clouds
22,Noormarkku,FI,61.59,21.87,37.4,74,40,4.7,scattered clouds
23,Rikitea,PF,-23.12,-134.97,74.68,77,60,7.9,broken clouds
24,Pimentel,PE,-6.84,-79.93,63.82,80,87,12.39,overcast clouds
25,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,64,0,11.41,clear sky
26,Walvis Bay,NA,-22.96,14.51,61.0,82,99,3.36,overcast clouds
27,Manokwari,ID,-0.87,134.08,81.64,76,90,8.19,overcast clouds
28,Chuy,UY,-33.7,-53.46,64.63,92,93,6.8,overcast clouds
29,Butaritari,KI,3.07,172.79,82.26,73,100,13.2,overcast clouds
30,Lompoc,US,34.64,-120.46,73.4,56,75,10.29,haze
31,Nikolskoye,RU,59.7,30.79,41.0,75,40,11.18,scattered clouds
32,Piacabucu,BR,-10.41,-36.43,77.16,83,0,7.94,clear sky
33,Geraldton,AU,-28.77,114.6,50.0,81,0,5.82,clear sky
34,Palora,EC,-1.7,-77.93,73.4,83,75,5.82,shower rain
35,Puerto Ayora,EC,-0.74,-90.35,78.8,69,20,14.99,few clouds
36,San Jose,US,37.34,-121.89,75.0,43,20,4.7,haze
37,Turan,VN,16.07,108.22,69.8,83,40,2.24,scattered clouds
38,Busselton,AU,-33.65,115.33,54.0,46,0,11.01,clear sky
39,Zhireken,RU,52.82,117.31,25.7,96,0,0.47,clear sky
40,Port Alfred,ZA,-33.59,26.89,68.45,80,64,18.37,broken clouds
41,Ancud,CL,-41.87,-73.82,52.0,93,75,14.99,broken clouds
42,Riyadh,SA,24.69,46.72,68.0,26,0,3.36,clear sky
43,Harlingen,US,26.19,-97.7,91.4,63,20,13.87,few clouds
44,Narsaq,GL,60.92,-46.05,28.4,68,98,1.12,overcast clouds
45,Chokurdakh,RU,70.63,147.92,8.46,91,94,7.31,overcast clouds
46,Vardo,NO,70.37,31.11,33.8,100,75,10.29,broken clouds
47,Bima,ID,-8.47,118.72,77.18,87,84,3.38,broken clouds
48,Osoyoos,CA,49.03,-119.45,35.01,96,100,1.21,light rain
49,Lasa,IT,46.62,10.7,52.0,100,75,3.36,fog
50,Alofi,NU,-19.06,-169.92,80.6,78,75,17.22,broken clouds
51,Palembang,ID,-2.92,104.75,75.27,93,100,1.79,light rain
52,Nuuk,GL,64.18,-51.72,28.4,74,43,4.7,scattered clouds
53,Orzhytsya,UA,49.79,32.7,57.85,63,100,3.96,light rain
54,Vila,PT,42.03,-8.16,51.01,89,46,3.0,scattered clouds
55,Fortuna,US,40.6,-124.16,64.0,51,1,13.87,clear sky
56,Castro,BR,-24.79,-50.01,63.43,92,33,8.34,scattered clouds
57,Byron Bay,AU,-28.65,153.62,71.6,83,90,10.29,light rain
58,Norman Wells,CA,65.28,-126.83,30.2,86,75,8.05,broken clouds
59,East London,ZA,-33.02,27.91,72.82,75,55,4.63,broken clouds
60,Lorengau,PG,-2.02,147.27,84.42,63,25,3.13,scattered clouds
61,Port Elizabeth,ZA,-33.92,25.57,68.0,88,45,16.11,scattered clouds
62,Sistranda,NO,63.73,8.83,35.6,69,0,10.29,clear sky
63,Mehamn,NO,71.04,27.85,37.4,86,75,26.4,light intensity shower rain
64,Cape Town,ZA,-33.93,18.42,62.01,87,0,8.05,clear sky
65,Arawa,PG,-6.21,155.54,84.61,67,41,1.28,light rain
66,Dudinka,RU,69.41,86.18,-4.0,83,40,8.95,scattered clouds
67,Iskateley,RU,67.68,53.15,21.56,94,90,11.61,overcast clouds
68,Salalah,OM,17.02,54.09,75.2,44,0,2.24,clear sky
69,Pacific Grove,US,36.62,-121.92,70.0,56,1,8.05,clear sky
70,Codrington,AU,-38.27,141.97,52.32,84,75,17.13,light rain
71,Quelimane,MZ,-17.88,36.89,73.4,83,0,2.62,clear sky
72,Pisco,PE,-13.7,-76.22,66.2,72,0,24.16,clear sky
73,Ushtobe,KZ,45.25,77.98,38.97,83,100,13.04,light rain
74,Barrow,US,71.29,-156.79,28.4,92,90,9.17,fog
75,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,37.4,84,75,2.24,broken clouds
76,Khani,GE,41.96,42.96,53.6,71,0,5.82,clear sky
77,Mayya,RU,61.73,130.28,15.8,92,0,6.71,clear sky
78,Vagur,FO,61.47,-6.81,48.18,81,11,13.29,few clouds
79,Meulaboh,ID,4.14,96.13,77.76,86,100,3.85,moderate rain
80,Saint-Philippe,RE,-21.36,55.77,71.6,68,75,4.7,broken clouds
81,San Patricio,US,28.02,-97.52,91.99,59,20,8.05,few clouds
82,Luderitz,NA,-26.65,15.16,59.68,79,0,7.2,clear sky
83,Maarianhamina,AX,60.1,19.93,30.2,92,40,1.12,scattered clouds
84,Goderich,CA,43.75,-81.72,72.0,86,87,23.78,light rain
85,Yellowknife,CA,62.46,-114.35,28.0,58,20,13.87,few clouds
86,Poddorye,RU,57.47,31.12,47.77,85,82,9.4,broken clouds
87,Grindavik,IS,63.84,-22.43,41.0,80,40,16.11,shower rain
88,Kruisfontein,ZA,-34.0,24.73,68.0,81,58,1.99,broken clouds
89,Korla,CN,41.76,86.15,45.0,93,32,4.0,scattered clouds
90,Marystown,CA,47.17,-55.15,45.0,100,6,2.1,clear sky
