City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Borba,BR,84.83,broken clouds,-4.39,-59.59,Hotel da Amazônia
4,Mahebourg,MU,73.4,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
5,Inhambane,MZ,70.07,clear sky,-23.86,35.38,Oceano
6,Bac Lieu,VN,77.2,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
7,Georgetown,MY,78.8,moderate rain,5.41,100.34,Cititel Penang
8,Vaini,TO,77.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
13,Nouadhibou,MR,73.4,broken clouds,20.93,-17.03,El Medina
15,Hithadhoo,MV,82.27,light rain,-0.6,73.08,Scoop Guest House
16,Atuona,PF,78.21,scattered clouds,-9.8,-139.03,Villa Enata
18,Avarua,CK,77.0,broken clouds,-21.21,-159.78,Paradise Inn
23,Rikitea,PF,74.68,broken clouds,-23.12,-134.97,Pension Maro'i
25,Sao Joao Da Barra,BR,75.2,clear sky,-21.64,-41.05,Pousada Porto De Canoas
27,Manokwari,ID,81.64,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
29,Butaritari,KI,82.26,overcast clouds,3.07,172.79,Isles Sunset Lodge
30,Lompoc,US,73.4,haze,34.64,-120.46,Holiday Inn Express Lompoc
32,Piacabucu,BR,77.16,clear sky,-10.41,-36.43,Piaçabuçu News
34,Palora,EC,73.4,shower rain,-1.7,-77.93,Rancho grande
35,Puerto Ayora,EC,78.8,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
36,San Jose,US,75.0,haze,37.34,-121.89,The Westin San Jose
47,Bima,ID,77.18,broken clouds,-8.47,118.72,Lambitu Hotel
50,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
51,Palembang,ID,75.27,light rain,-2.92,104.75,ASTON Palembang Hotel & Conference Center
57,Byron Bay,AU,71.6,light rain,-28.65,153.62,Backpackers Inn on the Beach
59,East London,ZA,72.82,broken clouds,-33.02,27.91,Tu Casa
60,Lorengau,PG,84.42,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
65,Arawa,PG,84.61,light rain,-6.21,155.54,Coastline Guest House
68,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
69,Pacific Grove,US,70.0,clear sky,36.62,-121.92,Lovers Point Inn
71,Quelimane,MZ,73.4,clear sky,-17.88,36.89,Hotel Flamingo
79,Meulaboh,ID,77.76,moderate rain,4.14,96.13,Kost Pria
80,Saint-Philippe,RE,71.6,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
84,Goderich,CA,72.0,light rain,43.75,-81.72,Harmony Inn
92,Hilo,US,87.8,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
94,General Roca,AR,82.4,clear sky,-39.03,-67.58,Hotel El Recreo
98,Sola,VU,77.0,overcast clouds,-13.88,167.55,Ulkel Guest House
