City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Flagstaff,US,35.2,-111.65,66.2,15,1,5.82,clear sky
1,Mataura,NZ,-46.19,168.86,54.0,70,85,11.99,overcast clouds
2,Taoudenni,ML,22.68,-3.98,80.02,21,0,15.23,clear sky
3,Tura,IN,25.52,90.22,78.33,81,5,3.2,clear sky
4,Hilo,US,19.73,-155.09,86.0,55,1,13.87,clear sky
5,Cidreira,BR,-30.18,-50.21,67.26,92,0,13.87,clear sky
6,Butaritari,KI,3.07,172.79,82.69,76,100,10.45,overcast clouds
7,Willowmore,ZA,-33.29,23.49,55.33,67,89,7.38,overcast clouds
8,Albany,US,42.6,-73.97,57.0,89,100,6.2,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,35.6,94,75,24.16,light intensity drizzle
10,Ratnagiri,IN,16.98,73.3,76.71,82,24,3.67,few clouds
11,Bakchar,RU,57.02,82.07,37.11,81,100,8.7,light rain
12,Roald,NO,62.58,6.13,39.2,69,50,10.29,scattered clouds
13,Esperance,AU,-33.87,121.9,60.8,100,90,8.05,overcast clouds
14,Hermanus,ZA,-34.42,19.23,57.99,75,7,1.99,clear sky
15,Najran,SA,17.49,44.13,59.0,28,0,4.7,clear sky
16,Nikolskoye,RU,59.7,30.79,35.6,80,90,8.95,overcast clouds
17,Dikson,RU,73.51,80.55,23.86,95,98,17.07,overcast clouds
18,Atasu,KZ,48.68,71.64,38.39,55,0,4.83,clear sky
19,Katsuura,JP,35.13,140.3,64.99,59,94,11.41,overcast clouds
20,Neiafu,TO,-18.65,-173.98,78.8,65,40,8.05,scattered clouds
21,Srednekolymsk,RU,67.45,153.68,20.53,95,98,1.68,overcast clouds
22,Dondo,MZ,-19.61,34.74,65.41,97,2,3.53,clear sky
23,Shelburne,CA,44.08,-80.2,46.99,93,90,3.36,moderate rain
24,Rawson,AR,-43.3,-65.1,51.06,49,0,4.56,clear sky
25,Jamestown,US,42.1,-79.24,53.01,100,90,6.93,overcast clouds
26,Half Moon Bay,US,37.46,-122.43,68.0,93,0,6.44,fog
