City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2020-10-19 20:32:21,22.08,-159.32,82.99,78,75,6.93
1,Punta Arenas,CL,2020-10-19 20:35:47,-53.15,-70.92,44.6,65,40,36.91
2,Nabire,ID,2020-10-19 20:35:47,-3.37,135.48,75.65,85,100,2.77
3,Lompoc,US,2020-10-19 20:35:47,34.64,-120.46,68.0,77,1,13.87
4,Namibe,AO,2020-10-19 20:35:45,-15.2,12.15,70.18,72,20,2.59
5,Ancud,CL,2020-10-19 20:35:47,-41.87,-73.82,51.8,50,75,5.82
6,Vaini,TO,2020-10-19 20:35:47,-21.2,-175.2,71.6,78,20,11.41
7,Kemijarvi,FI,2020-10-19 20:35:48,66.71,27.43,24.98,98,81,6.17
8,Qaanaaq,GL,2020-10-19 20:35:48,77.48,-69.36,29.88,86,53,10.94
9,Sokol,RU,2020-10-19 20:35:48,59.46,40.12,31.87,98,85,4.94
10,Tocopilla,CL,2020-10-19 20:35:48,-22.09,-70.2,66.43,51,17,9.1
11,Cidreira,BR,2020-10-19 20:30:49,-30.18,-50.21,69.49,86,0,13.78
12,Tomatlan,MX,2020-10-19 20:35:48,19.93,-105.25,89.35,66,13,8.79
13,Igarka,RU,2020-10-19 20:35:48,67.47,86.58,8.26,96,87,3.65
14,Provideniya,RU,2020-10-19 20:35:49,64.38,-173.3,28.4,79,31,4.47
15,Stare Mesto,CZ,2020-10-19 20:35:49,50.09,14.42,46.4,75,5,4.7
16,New Norfolk,AU,2020-10-19 20:35:49,-42.78,147.06,46.0,84,63,2.26
17,Chokurdakh,RU,2020-10-19 20:35:49,70.63,147.92,15.64,98,92,6.55
18,Yellowknife,CA,2020-10-19 20:35:49,62.46,-114.35,28.0,89,95,5.01
19,Presidencia Roque Saenz Pena,AR,2020-10-19 20:35:49,-26.79,-60.44,97.97,32,35,9.13
20,Saskylakh,RU,2020-10-19 20:35:49,71.92,114.08,21.27,97,91,4.14
21,Luderitz,NA,2020-10-19 20:31:25,-26.65,15.16,59.61,72,0,24.4
22,Tiksi,RU,2020-10-19 20:35:49,71.69,128.87,14.74,93,100,22.79
23,Souillac,MU,2020-10-19 20:35:50,-20.52,57.52,73.4,73,20,8.05
24,Nkhata Bay,MW,2020-10-19 20:35:50,-11.61,34.29,76.78,61,0,4.21
25,Cape Town,ZA,2020-10-19 20:32:41,-33.93,18.42,61.0,67,40,10.29
26,Kavaratti,IN,2020-10-19 20:31:59,10.57,72.64,80.74,75,100,11.5
27,Busselton,AU,2020-10-19 20:35:50,-33.65,115.33,55.0,74,0,9.84
